id;title__en;description__en;icon;tags;props__url;props__scheme;props__osi_approved
0bsd;BSD Zero Clause License;;;all,software;http://landley.net/toybox/license.html;spdx;y
aal;Attribution Assurance License;;;all,software;https://opensource.org/licenses/attribution;spdx;y
adsl;Amazon Digital Services License;;;all;https://fedoraproject.org/wiki/Licensing/AmazonDigitalServicesLicense;spdx;
afl-1.1;Academic Free License v1.1;;;all,software;http://opensource.linux-mirror.org/licenses/afl-1.1.txt;spdx;y
afl-1.2;Academic Free License v1.2;;;all,software;http://opensource.linux-mirror.org/licenses/afl-1.2.txt;spdx;y
afl-2.0;Academic Free License v2.0;;;all,software;http://wayback.archive.org/web/20060924134533/http://www.opensource.org/licenses/afl-2.0.txt;spdx;y
afl-2.1;Academic Free License v2.1;;;all,software;http://opensource.linux-mirror.org/licenses/afl-2.1.txt;spdx;y
afl-3.0;Academic Free License v3.0;;;all,software;http://www.rosenlaw.com/AFL3.0.htm;spdx;y
agpl-1.0-only;Affero General Public License v1.0 only;;;all,software;http://www.affero.org/oagpl.html;spdx;
agpl-1.0-or-later;Affero General Public License v1.0 or later;;;all,software;http://www.affero.org/oagpl.html;spdx;
agpl-3.0-only;GNU Affero General Public License v3.0 only;;;all,software;https://www.gnu.org/licenses/agpl.txt;spdx;y
agpl-3.0-or-later;GNU Affero General Public License v3.0 or later;;;all,software;https://www.gnu.org/licenses/agpl.txt;spdx;y
amdplpa;AMD's plpa_map.c License;;;all;https://fedoraproject.org/wiki/Licensing/AMD_plpa_map_License;spdx;
aml;Apple MIT License;;;all,software;https://fedoraproject.org/wiki/Licensing/Apple_MIT_License;spdx;
ampas;Academy of Motion Picture Arts and Sciences BSD;;;all;https://fedoraproject.org/wiki/Licensing/BSD#AMPASBSD;spdx;
antlr-pd;ANTLR Software Rights Notice;;;all,software;http://www.antlr2.org/license.html;spdx;
antlr-pd-fallback;ANTLR Software Rights Notice with license fallback;;;all,software;http://www.antlr2.org/license.html;spdx;
apafml;Adobe Postscript AFM License;;;all;https://fedoraproject.org/wiki/Licensing/AdobePostscriptAFM;spdx;
apl-1.0;Adaptive Public License 1.0;;;all,software;https://opensource.org/licenses/APL-1.0;spdx;y
apsl-1.0;Apple Public Source License 1.0;;;all,software;https://fedoraproject.org/wiki/Licensing/Apple_Public_Source_License_1.0;spdx;y
apsl-1.1;Apple Public Source License 1.1;;;all,software;http://www.opensource.apple.com/source/IOSerialFamily/IOSerialFamily-7/APPLE_LICENSE;spdx;y
apsl-1.2;Apple Public Source License 1.2;;;all,software;http://www.samurajdata.se/opensource/mirror/licenses/apsl.php;spdx;y
apsl-2.0;Apple Public Source License 2.0;;;all,software;http://www.opensource.apple.com/license/apsl/;spdx;y
abstyles;Abstyles License;;;all;https://fedoraproject.org/wiki/Licensing/Abstyles;spdx;
adobe-2006;Adobe Systems Incorporated Source Code License Agreement;;;all,software;https://fedoraproject.org/wiki/Licensing/AdobeLicense;spdx;
adobe-glyph;Adobe Glyph List License;;;all;https://fedoraproject.org/wiki/Licensing/MIT#AdobeGlyph;spdx;
afmparse;Afmparse License;;;all;https://fedoraproject.org/wiki/Licensing/Afmparse;spdx;
aladdin;Aladdin Free Public License;;;all;http://pages.cs.wisc.edu/~ghost/doc/AFPL/6.01/Public.htm;spdx;
apache-1.0;Apache License 1.0;;;all,software;http://www.apache.org/licenses/LICENSE-1.0;spdx;
apache-1.1;Apache License 1.1;;;all,software;http://apache.org/licenses/LICENSE-1.1;spdx;y
apache-2.0;Apache License 2.0;A permissive license whose main conditions require preservation of copyright and license notices. Contributors provide an express grant of patent rights. Licensed works, modifications, and larger works may be distributed under different terms and without source code.;;recommended,all,software;http://www.apache.org/licenses/LICENSE-2.0;spdx;y
artistic-1.0;Artistic License 1.0;;;all,software;https://opensource.org/licenses/Artistic-1.0;spdx;y
artistic-1.0-perl;Artistic License 1.0 (Perl);;;all,software;http://dev.perl.org/licenses/artistic.html;spdx;y
artistic-1.0-cl8;Artistic License 1.0 w/clause 8;;;all,software;https://opensource.org/licenses/Artistic-1.0;spdx;y
artistic-2.0;Artistic License 2.0;;;all,software;http://www.perlfoundation.org/artistic_license_2_0;spdx;y
bsd-1-clause;BSD 1-Clause License;;;all,software;https://svnweb.freebsd.org/base/head/include/ifaddrs.h?revision=326823;spdx;y
bsd-2-clause;"BSD 2-Clause ""Simplified"" License";;;all,software;https://opensource.org/licenses/BSD-2-Clause;spdx;y
bsd-2-clause-patent;BSD-2-Clause Plus Patent License;;;all,software;https://opensource.org/licenses/BSDplusPatent;spdx;y
bsd-2-clause-views;BSD 2-Clause with views sentence;;;all,software;http://www.freebsd.org/copyright/freebsd-license.html;spdx;
bsd-3-clause;"BSD 3-Clause ""New"" or ""Revised"" License";;;all,software;https://opensource.org/licenses/BSD-3-Clause;spdx;y
bsd-3-clause-attribution;BSD with attribution;;;all,software;https://fedoraproject.org/wiki/Licensing/BSD_with_Attribution;spdx;
bsd-3-clause-clear;BSD 3-Clause Clear License;;;all,software;http://labs.metacarta.com/license-explanation.html#license;spdx;
bsd-3-clause-lbnl;Lawrence Berkeley National Labs BSD variant license;;;all,software;https://fedoraproject.org/wiki/Licensing/LBNLBSD;spdx;y
bsd-3-clause-no-nuclear-license;BSD 3-Clause No Nuclear License;;;all,software;http://download.oracle.com/otn-pub/java/licenses/bsd.txt?AuthParam=1467140197_43d516ce1776bd08a58235a7785be1cc;spdx;
bsd-3-clause-no-nuclear-license-2014;BSD 3-Clause No Nuclear License 2014;;;all,software;https://java.net/projects/javaeetutorial/pages/BerkeleyLicense;spdx;
bsd-3-clause-no-nuclear-warranty;BSD 3-Clause No Nuclear Warranty;;;all,software;"https://jogamp.org/git/?p=gluegen.git;a=blob_plain;f=LICENSE.txt";spdx;
bsd-3-clause-open-mpi;BSD 3-Clause Open MPI variant;;;all,software;https://www.open-mpi.org/community/license.php;spdx;
bsd-4-clause;"BSD 4-Clause ""Original"" or ""Old"" License";;;all,software;http://directory.fsf.org/wiki/License:BSD_4Clause;spdx;
bsd-4-clause-uc;BSD-4-Clause (University of California-Specific);;;all,software;http://www.freebsd.org/copyright/license.html;spdx;
bsd-protection;BSD Protection License;;;all,software;https://fedoraproject.org/wiki/Licensing/BSD_Protection_License;spdx;
bsd-source-code;BSD Source Code Attribution;;;all,software;https://github.com/robbiehanson/CocoaHTTPServer/blob/master/LICENSE.txt;spdx;
bsl-1.0;Boost Software License 1.0;;;all,software;http://www.boost.org/LICENSE_1_0.txt;spdx;y
busl-1.1;Business Source License 1.1;;;all;https://mariadb.com/bsl11/;spdx;
bahyph;Bahyph License;;;all;https://fedoraproject.org/wiki/Licensing/Bahyph;spdx;
barr;Barr License;;;all;https://fedoraproject.org/wiki/Licensing/Barr;spdx;
